1C,-,-,28,Análisis Matemático,0,-,
1C,-,-,03,Física,0,-,
1C,-,-,24,ICSE,0,-,
2C,-,-,40,IPC,0,-,
2C,-,-,05,Química,0,-,
2C,-,-,27,Álgebra,0,-,
3C,-,-,61.03,Análisis Matemático II A,8,28-03-24-40-05-27,
3C,-,-,62.01,Física I,8,28-03-24-40-05-27,
3C,-,-,75.40,Algoritmos y Programación I,6,28-03-24-40-05-27,
4C,-,-,61.08,Álgebra II A,8,28-03-24-40-05-27,
4C,-,-,62.03,Física II A,8,61.03-62.01,
4C,-,-,63.01,Química,6,28-03-24-40-05-27,
4C,-,-,75.41,Algoritmos y Programación II,6,75.40,
5C,-,-,62.15,Física III D,4,61.08-62.03-63.01,
5C,-,-,66.02,Laboratorio,6,62.03,
5C,-,-,66.70,Estructura del Computador,6,61.08-62.03-75.41,
5C,-,-,75.07,Algoritmos y Programación III,6,75.41,
5C,-,-,75.12,Análisis Numérico I,6,61.03-61.08-75.41,
6C,-,-,61.09,Probabilidad y Estadística B,6,61.03-61.08,
6C,-,-,61.10,Análisis Matemático III A,6,61.03-61.08,
6C,-,-,66.20,Organización de Computadoras,6,66.02-66.70,
6C,-,-,75.06,Organización de Datos,6,66.70-75.41,
6C,-,-,75.42,Taller de Programación I,4,66.70-75.12-75.41,
7C,-,-,71.12,Estructura de las Organizaciones,6,75.06,
7C,-,-,71.14,Modelos y Optimización I,6,61.10-62.03-63.01-75.42,
7C,-,-,75.08,Sistemas Operativos,6,75.06,
7C,-,-,75.09,Análisis de la Información,6,75.07-75.42,
8C,-,-,75.10,Técnicas de Diseño,6,75.08-75.09,
8C,-,-,75.15,Base de Datos,6,75.06-75.09,
8C,-,-,75.43,Introducción a los Sistemas Distribuidos,6,66.20-62.15-75.08,
8C,-,-,75.52,Taller de Programación II,4,71.14-75.07-75.42,
8C,-,-,-,Optativas,4,-,
9C,G,-,71.13,Información en las Organizaciones,6,71.12,
9C,G,-,75.44,Administración y Control de Proyectos Informáticos I,6,71.12-75.10,
9C,G,-,75.45,Taller de Desarrollo de Proyectos I,6,75.10,
9C,G,-,-,Optativas,6,-,
10C,G,-,75.46,Administración y Control de Proyectos Informáticos II,6,75.44,
10C,G,-,75.47,Taller de Desarrollo de Proyectos II,6,75.44-75.45,
10C,G,-,75.48,Calidad en Desarrollo de Sistemas,4,75.45,
10C,G,-,-,Optativas,8,-,
11C,G,TESIS,71.40,Legislación y Ejercicio Profesional de la Ingeniería en Informática,4,140 créditos,
11C,G,TESIS,75.00,Tesis,12,140 créditos,
12C,G,TESIS,75.00,Tesis,12,140 créditos,
12C,G,TESIS,-,Optativas,10,-,
11C,G,TP,71.40,Legislación y Ejercicio Profesional de la Ingeniería en Informática,4,140 créditos,
11C,G,TP,75.99,Trabajo Profesional,6,140 créditos,
12C,G,TP,75.99,Trabajo Profesional,6,140 créditos,
12C,G,TP,-,Optativas,16,-,
9C,D,-,66.06,Análisis de Circuitos,10,61.10-62.03,
9C,D,-,75.59,Técnicas de Programación Concurrente I,6,75.08,
9C,D,-,-,Optativas,8,-,
10C,D,-,66.74,Señales y Sistemas,6,61.09-66.06,
10C,D,-,75.74,Sistemas Distribuidos I,6,61.10-75.43-75.59,
10C,D,-,-,Optativas,12,-,
11C,D,TESIS,71.40,Legislación y Ejercicio Profesional de la Ingeniería en Informática,4,140 créditos,
11C,D,TESIS,75.00,Tesis,12,140 créditos,
11C,D,TESIS,75.61,Taller de Programación III,6,66.74-75.74,
12C,D,TESIS,75.00,Tesis,12,140 créditos,
12C,D,TESIS,-,Optativas,10,-,
11C,D,TP,71.40,Legislación y Ejercicio Profesional de la Ingeniería en Informática,4,140 créditos,
11C,D,TP,75.99,Trabajo Profesional,6,140 créditos,
11C,D,TP,75.61,Taller de Programación III,6,66.74-75.74,
11C,D,TP,-,Optativas,6,-,
12C,D,TP,75.99,Trabajo Profesional,6,140 créditos,
12C,D,TP,-,Optativas,16,-,
9C,P,-,64.05,Estática y Resistencia de Materiales B,6,61.03-61.08,
9C,P,-,75.65,Manufactura Integrada por Computadora (CIM) I,6,75.15-75.52,
9C,P,-,75.67,Sistemas Automáticos de Diagnóstico y Detección de Fallas I,6,71.14,
9C,P,-,-,Optativas,6,-,
10C,P,-,72.01,Materiales Industriales I,6,63.01-64.05,
10C,P,-,75.66,Manufactura Integrada por Computadora (CIM) II,6,75.65,
10C,P,-,75.68,Sistemas de Soporte para Celdas de Producción Flexible,4,75.65-75.67,
10C,P,-,-,Optativas,8,-,
11C,P,TESIS,71.40,Legislación y Ejercicio Profesional de la Ingeniería en Informática,4,140 créditos,
11C,P,TESIS,75.00,Tesis,12,140 créditos,
12C,P,TESIS,-,Optativas,6,-,
12C,P,TESIS,75.00,Tesis,12,140 créditos,
12C,P,TESIS,-,Optativas,10,-,
11C,P,TP,71.40,Legislación y Ejercicio Profesional de la Ingeniería en Informática,4,140 créditos,
11C,P,TP,75.99,Trabajo Profesional,6,140 créditos,
12C,P,TP,-,Optativas,12,-,
12C,P,TP,75.99,Trabajo Profesional,6,140 créditos,
12C,P,TP,-,Optativas,16,-,
OPT,-,-,61.07,Matemática Discreta,6,28-03-24-40-05-27,
OPT,-,-,61.18,Ecuaciones Diferenciales Ordinarias,6,61.03-61.08
OPT,-,-,61.19,Análisis Funcional,6,61.10,
OPT,-,-,62.11,Mecánica Racional,4,61.10-62.01,
OPT,-,-,66.08,Circuitos Electrónicos I,8,62.15-66.02-66.06,
OPT,-,-,66.09,Laboratorio de Microcomputadoras,6,66.02-66.70,
OPT,-,-,66.17,Sistemas Digitales,6,66.70,
OPT,-,-,66.18,Teoría de Control I,6,66.74,
OPT,-,-,66.19,Circuitos de Pulsos,6,66.08-66.70,
OPT,-,-,66.24,Teoría de la Información y Codificación,4,66.74-66.75-66.70,
OPT,-,-,66.26,Arquitecturas Paralelas,6,66.20,
OPT,-,-,66.32,Robótica,6,62.11-66.18,
OPT,-,-,66.35,Técnica Digital Avanzada,6,61.07-66.17,
OPT,-,-,66.46,Procesamiento del Habla,6,66.74,
OPT,-,-,66.47,Procesamiento de Imágenes,6,61.09-66.74,
OPT,-,-,66.49,Sistemas Biológicos,6,66.74-63.01,
OPT,-,-,66.55,Simulación de Sistemas de Control,4,66.18,
OPT,-,-,66.63,Redes Neuronales,6,66.74-66.75,
OPT,-,-,66.69,Criptografía y Seguridad Informática,6,75.43,
OPT,-,-,66.71,Sistemas Gráficos,6,61.10-75.41,
OPT,-,-,66.74,Señales y Sistemas,6,61.09-66.06,
OPT,-,-,66.75,Procesos Estocásticos,6,61.03-61.09,
OPT,-,-,67.61,Fundamentos Matemáticos de la Visión en Robótica,6,61.08-75.07,
OPT,-,-,71.15,Modelos y Optimización II,6,61.09-71.14,
OPT,-,-,71.18,Estructura Económica Argentina,4,28-03-24-40-05-27,
OPT,-,-,71.20,Modelos y Optimización III,6,71.15,
OPT,-,-,71.41,Análisis y Resolución de Problemas,6,71.15,
OPT,-,-,71.42,Circuitos de Información en la Empresa,4,71.46,
OPT,-,-,71.44,Recursos Humanos,4,140 créditos,
OPT,-,-,71.46,Ingeniería Económica,6,71.13,
OPT,-,-,75.14,Lenguajes Formales,6,61.09,
OPT,-,-,75.16,Lenguajes de Programación,6,75.14,
OPT,-,-,75.26,Simulación,6,61.09,
OPT,-,-,75.29,Teoría de Algoritmos I,6,61.07-75.41,
OPT,-,-,75.30,Teoría de Algoritmos II,6,75.29,
OPT,-,-,75.31,Teoría de Lenguaje,4,75.41,
OPT,-,-,75.38,Análisis Numérico II A,6,75.52,
OPT,-,-,75.50,Introducción a los Sistemas Inteligentes,6,61.09-71.14,
OPT,-,-,75.51,Técnicas de Producción de Software I,4,75.15-75.52,
OPT,-,-,75.53,Técnicas de Producción de Software II,4,75.51,
OPT,-,-,75.54,Técnicas de Producción de Software III,4,75.48-75.53,
OPT,-,-,75.55,Taller de Desarrollo de Proyectos III,4,75.46-75.47-75.48,
OPT,-,-,75.56,Organización de la Implantación y el Mantenimiento,6,75.46-75.48,
OPT,-,-,75.57,Modelos de Proceso de Desarrollo,4,75.46-75.48,
OPT,-,-,75.58,Evaluación de Proyectos y Manejo de Riesgos,4,75.46-75.48,
OPT,-,-,75.62,Técnicas de Programación Concurrente II,4,75.59,
OPT,-,-,75.63,Sistemas Distribuidos II,4,75.74,
OPT,-,-,75.64,Sistemas Multimediales,4,66.74-75.74,
OPT,-,-,75.69,Sistemas Automáticos de Diagnóstico y Detección Fallas II,6,75.67,
OPT,-,-,75.70,Sistemas de Programación no convencional de Robots,6,75.50,
OPT,-,-,75.71,Seminario de Ingeniería en Informática I,3,75.07,
OPT,-,-,75.72,Seminario de Ingeniería en Informática II,3,75.06-75.44,
OPT,-,-,75.73,Arquitectura de Software,4,75.07-75.09,
OPT,-,-,78.01,Idioma Inglés,4,28-03-24-40-05-27,
OPT,-,-,78.02,Idioma Alemán,4,28-03-24-40-05-27,
OPT,-,-,78.03,Idioma Francés,4,28-03-24-40-05-27,
OPT,-,-,78.04,Idioma Italiano,4,28-03-24-40-05-27,
OPT,-,-,78.05,Idioma Portugués,4,28-03-24-40-05-27,
